Algorithm, Stable, Sorted, Size, Complexity, DegreeSorted
HeapSort,false,true,50000,31864805,PARTIALLY_UNSORTED
HeapSort,false,true,50500,32486543,PARTIALLY_UNSORTED
HeapSort,false,true,51000,33114281,PARTIALLY_UNSORTED
HeapSort,false,true,51500,33748019,PARTIALLY_UNSORTED
HeapSort,false,true,52000,34387757,PARTIALLY_UNSORTED
HeapSort,false,true,52500,35033495,PARTIALLY_UNSORTED
HeapSort,false,true,53000,35685233,PARTIALLY_UNSORTED
HeapSort,false,true,53500,36342971,PARTIALLY_UNSORTED
HeapSort,false,true,54000,37006709,PARTIALLY_UNSORTED
HeapSort,false,true,54500,37676447,PARTIALLY_UNSORTED
HeapSort,false,true,55000,38352185,PARTIALLY_UNSORTED
HeapSort,false,true,55500,39033923,PARTIALLY_UNSORTED
HeapSort,false,true,56000,39721661,PARTIALLY_UNSORTED
HeapSort,false,true,56500,40415399,PARTIALLY_UNSORTED
HeapSort,false,true,57000,41115137,PARTIALLY_UNSORTED
HeapSort,false,true,57500,41820875,PARTIALLY_UNSORTED
HeapSort,false,true,58000,42532613,PARTIALLY_UNSORTED
HeapSort,false,true,58500,43250351,PARTIALLY_UNSORTED
HeapSort,false,true,59000,43974089,PARTIALLY_UNSORTED
HeapSort,false,true,59500,44703827,PARTIALLY_UNSORTED
HeapSort,false,true,60000,45439565,PARTIALLY_UNSORTED
HeapSort,false,true,60500,46181303,PARTIALLY_UNSORTED
HeapSort,false,true,61000,46929041,PARTIALLY_UNSORTED
HeapSort,false,true,61500,47682779,PARTIALLY_UNSORTED
HeapSort,false,true,62000,48442517,PARTIALLY_UNSORTED
HeapSort,false,true,62500,49208255,PARTIALLY_UNSORTED
HeapSort,false,true,63000,49979993,PARTIALLY_UNSORTED
HeapSort,false,true,63500,50757731,PARTIALLY_UNSORTED
HeapSort,false,true,64000,51541469,PARTIALLY_UNSORTED
HeapSort,false,true,64500,52331207,PARTIALLY_UNSORTED
HeapSort,false,true,65000,53126945,PARTIALLY_UNSORTED
HeapSort,false,true,65500,53928683,PARTIALLY_UNSORTED
HeapSort,false,true,66000,54736421,PARTIALLY_UNSORTED
HeapSort,false,true,66500,55550159,PARTIALLY_UNSORTED
HeapSort,false,true,67000,56369897,PARTIALLY_UNSORTED
HeapSort,false,true,67500,57195635,PARTIALLY_UNSORTED
HeapSort,false,true,68000,58027373,PARTIALLY_UNSORTED
HeapSort,false,true,68500,58865111,PARTIALLY_UNSORTED
HeapSort,false,true,69000,59708849,PARTIALLY_UNSORTED
HeapSort,false,true,69500,60558587,PARTIALLY_UNSORTED
HeapSort,false,true,70000,61414325,PARTIALLY_UNSORTED
HeapSort,false,true,70500,62276063,PARTIALLY_UNSORTED
HeapSort,false,true,71000,63143801,PARTIALLY_UNSORTED
HeapSort,false,true,71500,64017539,PARTIALLY_UNSORTED
HeapSort,false,true,72000,64897277,PARTIALLY_UNSORTED
HeapSort,false,true,72500,65783015,PARTIALLY_UNSORTED
HeapSort,false,true,73000,66674753,PARTIALLY_UNSORTED
HeapSort,false,true,73500,67572491,PARTIALLY_UNSORTED
HeapSort,false,true,74000,68476229,PARTIALLY_UNSORTED
HeapSort,false,true,74500,69385967,PARTIALLY_UNSORTED
HeapSort,false,true,75000,70301705,PARTIALLY_UNSORTED
HeapSort,false,true,75500,71223443,PARTIALLY_UNSORTED
HeapSort,false,true,76000,72151181,PARTIALLY_UNSORTED
HeapSort,false,true,76500,73084919,PARTIALLY_UNSORTED
HeapSort,false,true,77000,74024657,PARTIALLY_UNSORTED
HeapSort,false,true,77500,74970395,PARTIALLY_UNSORTED
HeapSort,false,true,78000,75922133,PARTIALLY_UNSORTED
HeapSort,false,true,78500,76879871,PARTIALLY_UNSORTED
HeapSort,false,true,79000,77843609,PARTIALLY_UNSORTED
HeapSort,false,true,79500,78813347,PARTIALLY_UNSORTED
HeapSort,false,true,80000,79789085,PARTIALLY_UNSORTED
HeapSort,false,true,80500,80770823,PARTIALLY_UNSORTED
HeapSort,false,true,81000,81758561,PARTIALLY_UNSORTED
HeapSort,false,true,81500,82752299,PARTIALLY_UNSORTED
HeapSort,false,true,82000,83752037,PARTIALLY_UNSORTED
HeapSort,false,true,82500,84757775,PARTIALLY_UNSORTED
HeapSort,false,true,83000,85769513,PARTIALLY_UNSORTED
HeapSort,false,true,83500,86787251,PARTIALLY_UNSORTED
HeapSort,false,true,84000,87810989,PARTIALLY_UNSORTED
HeapSort,false,true,84500,88840727,PARTIALLY_UNSORTED
HeapSort,false,true,85000,89876465,PARTIALLY_UNSORTED
HeapSort,false,true,85500,90918203,PARTIALLY_UNSORTED
HeapSort,false,true,86000,91965941,PARTIALLY_UNSORTED
HeapSort,false,true,86500,93019679,PARTIALLY_UNSORTED
HeapSort,false,true,87000,94079417,PARTIALLY_UNSORTED
HeapSort,false,true,87500,95145155,PARTIALLY_UNSORTED
HeapSort,false,true,88000,96216893,PARTIALLY_UNSORTED
HeapSort,false,true,88500,97294631,PARTIALLY_UNSORTED
HeapSort,false,true,89000,98378369,PARTIALLY_UNSORTED
HeapSort,false,true,89500,99468107,PARTIALLY_UNSORTED
HeapSort,false,true,90000,100563845,PARTIALLY_UNSORTED
HeapSort,false,true,90500,101665583,PARTIALLY_UNSORTED
HeapSort,false,true,91000,102773321,PARTIALLY_UNSORTED
HeapSort,false,true,91500,103887059,PARTIALLY_UNSORTED
HeapSort,false,true,92000,105006797,PARTIALLY_UNSORTED
HeapSort,false,true,92500,106132535,PARTIALLY_UNSORTED
HeapSort,false,true,93000,107264273,PARTIALLY_UNSORTED
HeapSort,false,true,93500,108402011,PARTIALLY_UNSORTED
HeapSort,false,true,94000,109545749,PARTIALLY_UNSORTED
HeapSort,false,true,94500,110695487,PARTIALLY_UNSORTED
HeapSort,false,true,95000,111851225,PARTIALLY_UNSORTED
HeapSort,false,true,95500,113012963,PARTIALLY_UNSORTED
HeapSort,false,true,96000,114180701,PARTIALLY_UNSORTED
HeapSort,false,true,96500,115354439,PARTIALLY_UNSORTED
HeapSort,false,true,97000,116534177,PARTIALLY_UNSORTED
HeapSort,false,true,97500,117719915,PARTIALLY_UNSORTED
HeapSort,false,true,98000,118911653,PARTIALLY_UNSORTED
HeapSort,false,true,98500,120109391,PARTIALLY_UNSORTED
HeapSort,false,true,99000,121313129,PARTIALLY_UNSORTED
HeapSort,false,true,99500,122522867,PARTIALLY_UNSORTED
HeapSort,false,true,100000,123738605,PARTIALLY_UNSORTED
